index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in,desc_len,duration_minutes,imdb_votes_log1p,is_show,is_classic,num_genres
4595,tm314863,Vivo,MOVIE,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,2021,PG,95,tt6338498,6.7,17650.0,vivo,,"Kirk DeMicco, Brandon Jeffords","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos, Brian Tyree Henry, Gloria Estefan, Michael Rooker, Nicole Byer","Canada, United States","August 6, 2021",PG,100 min,"Children & Family Movies, Music & Musicals",137,100.0,9.77854771798028,0,0,2
4596,tm841797,The Ice Road,MOVIE,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",2021,PG-13,103,tt3758814,5.6,37401.0,the ice road,,Jonathan Hensleigh,"Liam Neeson, Benjamin Walker, Amber Midthunder, Marcus Thomas, Laurence Fishburne, Holt McCallany, Martin Sensmeier, Matt McCoy, Matt Salinger","United States, Canada","June 25, 2021",PG-13,109 min,Action & Adventure,167,109.0,10.529479457908666,0,0,1
4602,ts271595,Crime Scene: The Vanishing at the Cecil Hotel,SHOW,The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. A dive into crime's darkest places.,2021,TV-MA,55,tt13840586,5.9,16799.0,crime scene: the vanishing at the cecil hotel,,Joe Berlinger,,United States,"February 10, 2021",TV-MA,1 Season,"Crime TV Shows, Docuseries",108,55.0,9.72913416539135,1,0,2
4612,ts297483,Hometown Cha-Cha-Cha,SHOW,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",2021,TV-14,78,tt14518756,8.5,9987.0,hometown cha-cha-cha,,,"Shin Min-a, Kim Seon-ho, Lee Sang-yi, Gong Min-jeung, Kim Young-ok, Cho Han-cheul, In Gyo-jin, Lee Bong-ryeon, Cha Cheong-hwa, Kang Hyung-suk",Unknown,"August 29, 2021",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",149,78.0,9.209139651399664,1,0,3
4613,tm858869,Stowaway,MOVIE,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,2021,PG-13,117,tt9203694,5.6,44054.0,stowaway,,Joe Penna,"Anna Kendrick, Toni Collette, Daniel Dae Kim, Shamier Anderson","Germany, United States","April 22, 2021",TV-MA,116 min,"Dramas, International Movies, Thrillers",139,116.0,10.69319413230083,0,0,3
4614,tm833216,Things Heard & Seen,MOVIE,"Catherine Clare reluctantly trades life in 1980 Manhattan for a remote home in the tiny hamlet of Chosen, New York, after her husband George lands a job teaching art history at a small Hudson Valley college. Even as she does her best to transform the old dairy farm into a place where young daughter Franny will be happy, Catherine increasingly finds herself isolated and alone. She soon comes to sense a sinister darkness lurking both in the walls of the ramshackle propertyâ€”and in her marriage to George.",2021,Unknown,121,tt10962368,5.3,29915.0,things heard & seen,,"Robert Pulcini, Shari Springer Berman","Amanda Seyfried, James Norton, Natalia Dyer, Alex Neustaedter, F. Murray Abraham, Rhea Seehorn, Michael O'Keefe, Karen Allen, Jack Gore, James Urbaniak, Ana Sophia Heger",Unknown,"April 29, 2021",TV-MA,121 min,"Horror Movies, Thrillers",508,121.0,10.306148733311558,0,0,2
4619,tm458292,Space Sweepers,MOVIE,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",2021,R,136,tt12838766,6.5,24659.0,space sweepers,,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri, Jin Sun-kyu, Yoo Hai-jin, Richard Armitage, Park Ye-rin",South Korea,"February 5, 2021",TV-MA,138 min,"Action & Adventure, Dramas, International Movies",229,138.0,10.112937776718335,0,0,3
4620,tm981945,The Last Letter From Your Lover,MOVIE,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,2021,Unknown,110,tt1893273,6.6,16302.0,the last letter from your lover,,Augustine Frizzell,"Shailene Woodley, Felicity Jones, Callum Turner, Joe Alwyn, Nabhaan Rizwan, Ncuti Gatwa, Emma Appleton, Christian Brassington, Alice Orr-Ewing, Lee Knight, Zoe Boyle, Ben Cross, Diana Kent",United Kingdom,"July 23, 2021",TV-MA,111 min,"Dramas, Romantic Movies",150,111.0,9.699104418939655,0,0,2
4625,ts288087,Sophie: A Murder in West Cork,SHOW,A shocking murder in rural Ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders.,2021,TV-14,55,tt14681732,6.8,5093.0,sophie: a murder in west cork,,John Dower,,Unknown,"June 30, 2021",TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",141,55.0,8.535818655539403,1,0,3
4626,tm992260,Yes Day,MOVIE,A mom and dad who usually say no decide to say yes to their kids' wildest requests â€” with a few ground rules â€” on a whirlwind day of fun and adventure.,2021,PG,86,tt8521876,5.7,23141.0,yes day,,Miguel Arteta,"Jennifer Garner, Edgar Ramírez, Jenna Ortega, Julian Lerner, Everly Carganilla, Tracie Thoms, Fortune Feimster, Nat Faxon, Arturo Castro",United States,"March 12, 2021",PG,90 min,"Children & Family Movies, Comedies",155,90.0,10.049404427436283,0,0,2
4629,ts306203,Monsters Inside: The 24 Faces of Billy Milligan,SHOW,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021,Unknown,61,tt15287836,6.2,3038.0,monsters inside: the 24 faces of billy milligan,,Olivier Megaton,,Unknown,"September 22, 2021",TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",148,61.0,8.019283792916793,1,0,3
4630,ts304053,Countdown: Inspiration4 Mission to Space,SHOW,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",2021,TV-14,50,tt15166116,7.9,1642.0,countdown: inspiration4 mission to space,,Jason Hehir,,Unknown,"September 6, 2021",TV-14,1 Season,"Docuseries, Science & Nature TV",150,50.0,7.404279118037268,1,0,2
4632,ts284702,This Is a Robbery: The World's Biggest Art Heist,SHOW,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime.",2021,TV-MA,53,tt14223858,6.5,4246.0,this is a robbery: the world's biggest art heist,,,,Unknown,"April 7, 2021",TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",150,53.0,8.353968130313271,1,0,3
4633,tm1079334,"Bob Ross: Happy Accidents, Betrayal & Greed",MOVIE,Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,2021,PG-13,92,tt14539744,6.9,5674.0,"bob ross: happy accidents, betrayal & greed",,Joshua Rofé,Bob Ross,Unknown,"August 25, 2021",TV-14,93 min,Documentaries,148,93.0,8.643825842349603,0,0,1
4638,tm919880,Final Account,MOVIE,A depiction of the last living generation of German participants in Adolf Hitlerâ€™s Third Reich.,2021,PG-13,94,tt12789212,7.1,950.0,final account,,Luke Holland,,"United Kingdom, United States","September 2, 2021",PG-13,94 min,Documentaries,97,94.0,6.85751406254539,0,0,1
4639,ts299865,Heist,SHOW,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,2021,TV-MA,43,tt14865290,6.8,1698.0,heist,,,,Unknown,"July 14, 2021",TV-MA,1 Season,"Crime TV Shows, Docuseries",145,43.0,7.4377951216719325,1,0,2
4640,ts269676,History of Swear Words,SHOW,This proudly profane series explores the history and impact of some of the most notorious bad words in the English language.,2021,TV-MA,21,tt13617060,6.4,4776.0,history of swear words,,,Nicolas Cage,United States,"January 5, 2021",TV-MA,1 Season,"Docuseries, TV Comedies",124,21.0,8.471568013389962,1,0,2
4641,ts104499,Trese,SHOW,"Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings.",2021,TV-MA,29,tt9310336,7.0,3701.0,trese,,Jay Oliva,"Shay Mitchell, Liza Soberano, Jon Jon Briones, Darren Criss, Manny Jacinto, Dante Basco, Nicole Scherzinger, Lou Diamond Phillips, Steve Blum","Philippines, Singapore, Indonesia","June 11, 2021",TV-MA,1 Season,"Anime Series, Crime TV Shows, TV Horror",217,29.0,8.216628493133443,1,0,3
4643,tm1038344,Awake,MOVIE,"After a sudden global event wipes out all electronics and takes away humankindâ€™s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind.",2021,R,96,tt10418662,4.8,20828.0,awake,,Mark Raso,"Gina Rodriguez, Ariana Greenblatt, Frances Fisher, Jennifer Jason Leigh, Barry Pepper, Shamier Anderson, Finn Jones, Lucius Hoyos, Gil Bellows",United States,"June 9, 2021",TV-MA,97 min,"Dramas, Thrillers",358,97.0,9.944101525421383,0,0,2
