Task,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Regression,0.7496005802329176,0.9746080126479133,0.25965622177824543,,,,,,
Classification,,,,0.7722342733188721,0.8454545454545455,0.5138121546961326,0.6391752577319587,0.8968823993685873,0.854517059580041
