index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,director,cast,country,date_added,rating,duration,listed_in
917,tm184608,Texas Chainsaw 3D,MOVIE,"A young woman learns that she has inherited a Texas estate from her deceased grandmother.Â After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansionâ€™s dank cellars.",2013,R,92,tt1572315,4.8,49312.0,texas chainsaw 3d,,,,,,,
918,tm144046,Jackass Presents: Bad Grandpa .5,MOVIE,"Bad Grandpa .5 gives you a whole new perspective on the world of Irving Zisman with bonus scenes and pranks also featuring Spike Jonze as ""Gloria"" and Catherine Keener as Irving's wife ""Ellie"", plus a look at the evolution of Johnny Knoxville's naughty alter-ego, the makeup effects, and a behind-the-scenes peek at the idiocy it takes to make a hidden camera movie in public.",2014,PG-13,86,tt3766424,6.3,,jackass presents: bad grandpa .5,,,,,,,
923,tm140342,"I, Frankenstein",MOVIE,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.",2014,PG-13,92,tt1418377,5.1,80733.0,"i, frankenstein",,,,,,,
926,ts36836,Zach Stone Is Gonna Be Famous,SHOW,"Zach hires a camera crew to film him throughout his daily life as a part of his quest to become an over-night celebrity - even though he possesses no real talent. From Zach's attempts to become a celebrity chef or a ring-tone recording artist to purposefully going missing, he'll try any avenue to get noticed and stop at nothing until he reaches fame.",2013,TV-PG,20,tt1748277,8.3,3616.0,zach stone is gonna be famous,,,,,,,
940,tm181533,The Big Wedding,MOVIE,"To the amusement of their adult children and friends, long divorced couple Don and Ellie Griffin are once again forced to play the happy couple for the sake of their adopted son's wedding after his ultra conservative biological mother unexpectedly decides to fly halfway across the world to attend. With all of the wedding guests looking on, the Griffins are hilariously forced to confront their past, present and future - and hopefully avoid killing each other in the process.",2013,R,90,tt1931435,5.6,49549.0,the big wedding,,,,,,,
950,tm171228,Metallica: Through the Never,MOVIE,"Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.",2013,R,93,tt2172935,7.1,17433.0,metallica: through the never,,,,,,,
953,tm143372,Stand by Me Doraemon,MOVIE,"In the suburbs of Tokyo some time ago, there lived a clumsy boy about 10 years old. There appeared in front of him named Sewashi, Nobita's descendant of four generations later from the 22nd century, and Doraemon, a 22nd century cat-type caretaker robot who helps people with its secret gadgets. Sewashi claims that his family is suffering from the debts Nobita made even to his generation, so in order to change this disastrous future, he brought along Doraemon as Nobita's caretaker to bring happiness to his future, although Doraemon is not happy about this. And so Sewashi installed an accomplishment program into Doraemon forcing him to take care of Nobita. Unless he makes Nobita happy, Doraemon can no longer go back to the 22nd century. This is how the life of Doraemon and Nobita begins. Will Doraemon succeed this mission and return to the 22nd century?",2014,G,90,tt3331846,7.3,7812.0,stand by me doraemon,,,,,,,
954,tm71148,Thanks for Sharing,MOVIE,A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demonâ€”sex addiction.,2013,R,112,tt1932718,6.4,28204.0,thanks for sharing,,,,,,,
957,ts22445,The Heirs,SHOW,"Heirs follows a group of privileged, elite high school students as they are groomed to take over their families' business empires. These wealthy students seem to have everything under controlâ€“except their love lives. Kim Tan is heir to the Empire Group sent to study abroad in the U.S. In reality it's a form of exile, as his elder half-brother back home schemes to takes over the family business. While in the States, Kim Tan bumps into Cha Eun Sung, who's arrived from Korea in search of her older sister. He feels himself falling for her, never realizing that she's the daughter of his family's housekeeper. When his fiancÃ©e Rachel Yoo arrives to bring him back to Korea, his heart is torn between love and duty. Meanwhile, Rachel's half-brother Choi Young Do develops his own crush on Eun Sung. Who said being a rich, beautiful high school student was easy?",2013,,59,tt3243098,7.5,10329.0,the heirs,,,,,,,
968,ts2161,Angry Birds Toons,SHOW,"Angry Birds Toons tells how life is not always easy on Piggie Island. Red and angry feathered companions, Chuck, Mathilda, Bomb, Blues and Terence must come together to protect their eggs - and future - of cunning plots of Bad Piggies. Having only guides for their intelligence and determination, they absolutely must thwart the advanced technology Piggies are also incredibly too many. Nevertheless, they have a huge advantage ... the incredible stupidity of the Piggies! Angry Birds Toon gives life to characters and adventures of one of the most popular games in history and presents the amusing world, and cunning of Birds and their sworn enemies, the Piggies.",2013,TV-Y,2,tt3012598,6.2,800.0,angry birds toons,,,,,,,
